"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.202770414E0,-6.015999794E0,-1.514900017E1,1.083800030E1,1.957413370E1
1.207751416E0,-6.124000072E0,-1.516300011E1,1.074499989E1,1.956719121E1
1.212732568E0,-6.205999851E0,-1.513099957E1,1.065400028E1,1.951843498E1
1.217713561E0,-6.166999817E0,-1.518000031E1,1.075800037E1,1.960099151E1
1.222694713E0,-6.094999790E0,-1.523299980E1,1.104599953E1,1.977896385E1
1.227675715E0,-5.914999962E0,-1.526799965E1,1.139400005E1,1.994798925E1
1.232656846E0,-5.393000126E0,-1.558199978E1,1.175500011E1,2.025001716E1
1.237637848E0,-4.754000187E0,-1.600000000E1,1.182600021E1,2.045616775E1
1.242619015E0,-4.050000191E0,-1.638899994E1,1.179899979E1,2.059655837E1
1.247600017E0,-3.621999979E0,-1.651000023E1,1.178699970E1,2.060660946E1
1.252581169E0,-2.874000072E0,-1.656699944E1,1.165799999E1,2.046055499E1
1.257562176E0,-2.016000032E0,-1.653899956E1,1.141699982E1,2.019778818E1
1.262543328E0,-1.190999985E0,-1.650099945E1,1.119400024E1,1.997516221E1
1.267524330E0,-4.250000119E-1,-1.637599945E1,1.111200047E1,1.979470983E1
1.272505491E0,3.240000010E-1,-1.603700066E1,1.114599991E1,1.953263116E1
1.277486493E0,1.139999986E0,-1.559000015E1,1.125300026E1,1.926078190E1
1.282467645E0,2.124000072E0,-1.525500011E1,1.133699989E1,1.912469533E1
1.287448647E0,3.170000076E0,-1.503499985E1,1.127400017E1,1.905789077E1
1.292429799E0,3.898000002E0,-1.465699959E1,1.084599972E1,1.864558261E1
1.297410792E0,4.232999802E0,-1.419299984E1,1.030599976E1,1.804364605E1
1.302391943E0,4.302000046E0,-1.384700012E1,1.030599976E1,1.778932960E1
1.307372945E0,4.181000233E0,-1.341199970E1,1.014400005E1,1.732810538E1
1.312354092E0,4.014999866E0,-1.292000008E1,9.949000359E0,1.679372603E1
1.317335094E0,3.888000011E0,-1.253999996E1,9.829000473E0,1.640053028E1
1.322316241E0,3.888999939E0,-1.228800011E1,9.657999992E0,1.610578253E1
1.327297243E0,4.354000092E0,-1.235599995E1,9.347000122E0,1.609330490E1
1.332278166E0,5.237999916E0,-1.284200001E1,8.932000160E0,1.649649157E1
1.337259375E0,6.158999920E0,-1.326099968E1,8.378000259E0,1.685165514E1
1.342240300E0,6.973999977E0,-1.330900002E1,7.623000145E0,1.684862868E1
1.347221529E0,7.708000183E0,-1.307600021E1,7.008999825E0,1.671888534E1
1.352202458E0,8.529000282E0,-1.282400036E1,6.460999966E0,1.670159728E1
1.357183610E0,9.312999725E0,-1.262899971E1,5.968999863E0,1.678846500E1
1.362164617E0,9.914999962E0,-1.240200043E1,5.692999840E0,1.686793070E1
1.367145769E0,1.026799965E1,-1.196500015E1,5.724999905E0,1.677404749E1
1.372126771E0,1.047399998E1,-1.136200047E1,6.037000179E0,1.659051239E1
1.377107947E0,1.058199978E1,-1.086999989E1,6.418000221E0,1.647198663E1
1.382088949E0,1.065600014E1,-1.058500004E1,6.885000229E0,1.652258433E1
1.387070101E0,1.065900040E1,-1.052600002E1,7.519999981E0,1.676190221E1
1.392051108E0,1.083399963E1,-1.065900040E1,7.830999851E0,1.709720434E1
1.397032259E0,1.129899979E1,-1.085099983E1,7.510000229E0,1.737272854E1
1.402013275E0,1.214200020E1,-1.130200005E1,6.989999771E0,1.800065195E1
1.406994427E0,1.313199997E1,-1.189599991E1,6.201000214E0,1.877276327E1
1.411975429E0,1.412199974E1,-1.234200001E1,5.019999981E0,1.941536095E1
1.416956548E0,1.511800003E1,-1.267899990E1,3.861999989E0,2.010537260E1
1.421937550E0,1.612700081E1,-1.303999996E1,2.697000027E0,2.091400400E1
1.426918702E0,1.710899925E1,-1.335700035E1,1.605999947E0,2.176480070E1
1.431899723E0,1.802000046E1,-1.359399986E1,6.209999919E-1,2.258102942E1
1.436880875E0,1.895100021E1,-1.378800011E1,-2.020000070E-1,2.343694007E1
1.441861896E0,1.990900040E1,-1.401599979E1,-9.570000172E-1,2.436662463E1
1.446843048E0,2.089399910E1,-1.421399975E1,-1.616999984E0,2.532215781E1
1.451824050E0,2.186499977E1,-1.430700016E1,-2.016999960E0,2.620757061E1
1.456805202E0,2.269499969E1,-1.430700016E1,-2.232000113E0,2.692090432E1
1.461786204E0,2.325000000E1,-1.418099976E1,-2.303999901E0,2.733078246E1
1.466767355E0,2.344599915E1,-1.398900032E1,-2.380000114E0,2.740568201E1
1.471748367E0,2.331900024E1,-1.377900028E1,-2.381999969E0,2.719026563E1
1.476729519E0,2.290500069E1,-1.356200027E1,-2.438999891E0,2.673042514E1
1.481710540E0,2.222800064E1,-1.335200024E1,-2.441999912E0,2.604464026E1
1.486691692E0,2.136199951E1,-1.309700012E1,-2.250999928E0,2.515816838E1
1.491672694E0,2.030699921E1,-1.286900043E1,-1.991999984E0,2.412371142E1
1.496653846E0,1.913500023E1,-1.268099976E1,-1.782999992E0,2.302466238E1
1.501634848E0,1.790999985E1,-1.243599987E1,-1.600999951E0,2.186287694E1
1.506616000E0,1.667300034E1,-1.209200001E1,-1.279999971E0,2.063598324E1
1.511597011E0,1.544499969E1,-1.163700008E1,-8.759999871E-1,1.935807745E1
1.516578163E0,1.427400017E1,-1.115100002E1,-4.560000002E-1,1.811904573E1
1.521559180E0,1.320400047E1,-1.073499966E1,-3.999999911E-2,1.701726906E1
