"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.303570133E0,5.083000183E0,1.041000009E0,-4.510000050E-1,5.208068057E0
1.308550748E0,4.895999908E0,9.470000267E-1,-5.019999743E-1,5.011948536E0
1.313531684E0,4.704999924E0,8.429999948E-1,-4.970000088E-1,4.805692695E0
1.318512301E0,4.603000164E0,7.680000067E-1,-4.189999998E-1,4.685402386E0
1.323492925E0,4.622000217E0,7.239999771E-1,-2.010000050E-1,4.682676903E0
1.328473616E0,4.813000202E0,7.720000148E-1,1.180000007E-1,4.875949033E0
1.333454233E0,5.158999920E0,8.389999866E-1,5.509999990E-1,5.255739924E0
1.338435063E0,5.596000195E0,8.719999790E-1,1.003999949E0,5.751836058E0
1.343415681E0,5.974999905E0,8.460000157E-1,1.394999981E0,6.193735935E0
1.348396371E0,6.223999977E0,7.639999986E-1,1.654999971E0,6.485437273E0
1.353377227E0,6.298999786E0,7.469999790E-1,1.820999980E0,6.599352105E0
1.358357844E0,6.408999920E0,7.820000052E-1,1.917999983E0,6.735393672E0
1.363338450E0,6.578000069E0,8.140000105E-1,1.886000037E0,6.891275431E0
1.368319140E0,6.835000038E0,7.670000196E-1,1.720999956E0,7.089947489E0
1.373299986E0,7.116000175E0,6.700000167E-1,1.470999956E0,7.297273422E0
1.378280604E0,7.361000061E0,5.889999866E-1,1.195000052E0,7.480592758E0
1.383261294E0,7.594999790E0,5.120000243E-1,1.019999981E0,7.680271206E0
1.388241911E0,7.800000191E0,4.429999888E-1,8.989999890E-1,7.864124423E0
1.393222513E0,7.956999779E0,3.709999919E-1,8.410000205E-1,8.009916823E0
1.398203357E0,8.071000099E0,2.610000074E-1,8.569999933E-1,8.120567258E0
1.403184041E0,8.154000282E0,1.309999973E-1,9.829999804E-1,8.214083672E0
1.408164657E0,8.144000053E0,-6.100000069E-2,1.248999953E0,8.239445294E0
1.413145501E0,7.729000092E0,-3.490000069E-1,1.666000009E0,7.914215024E0
1.418126108E0,6.849999905E0,-5.799999833E-1,2.112999916E0,7.191916804E0
1.423106799E0,5.902999878E0,-6.700000167E-1,2.484999895E0,6.439684158E0
1.428087416E0,5.296999931E0,-7.630000114E-1,2.592999935E0,5.946766008E0
1.433068280E0,5.144999981E0,-9.160000086E-1,2.484999895E0,5.786648883E0
1.438048898E0,5.308000088E0,-1.110000014E0,2.362999916E0,5.915296575E0
1.443029587E0,5.512000084E0,-1.304999948E0,2.246000051E0,6.093413331E0
1.448010433E0,5.638000011E0,-1.445000052E0,2.016000032E0,6.159490678E0
1.452991050E0,5.736000061E0,-1.518000007E0,1.713000059E0,6.175790631E0
1.457971681E0,5.857999802E0,-1.593999982E0,1.409999967E0,6.232583535E0
1.462952371E0,5.932000160E0,-1.682999969E0,1.159000039E0,6.274105186E0
1.467932989E0,5.932000160E0,-1.838999987E0,1.016000032E0,6.293075792E0
1.472913823E0,5.842000008E0,-2.016000032E0,9.459999800E-1,6.252050558E0
1.477894517E0,5.716000080E0,-2.194999933E0,9.380000234E-1,6.194394697E0
1.482875142E0,5.501999855E0,-2.427000046E0,9.470000267E-1,6.087621923E0
1.487855987E0,5.179999828E0,-2.645999908E0,1.014999986E0,5.904569308E0
1.492836604E0,4.796000004E0,-2.849999905E0,1.042999983E0,5.675558515E0
1.497817283E0,4.375000000E0,-3.026000023E0,1.113000035E0,5.434709764E0
1.502798130E0,3.957999945E0,-3.197999954E0,1.177000046E0,5.222862853E0
1.507778747E0,3.592000008E0,-3.359999895E0,1.179999948E0,5.058108661E0
1.512759442E0,3.400000095E0,-3.437000036E0,1.118999958E0,4.962371490E0
1.517740060E0,3.374000072E0,-3.496999979E0,1.042000055E0,4.969773582E0
1.522720665E0,3.411999941E0,-3.579999924E0,9.399999976E-1,5.034058308E0
1.527701509E0,3.456000090E0,-3.720999956E0,7.630000114E-1,5.135362335E0
1.532682203E0,3.421999931E0,-3.924999952E0,6.549999714E-1,5.248307643E0
1.537662810E0,3.247999907E0,-4.166999817E0,6.250000000E-1,5.320151865E0
1.542643654E0,2.966000080E0,-4.418000221E0,6.209999919E-1,5.357380276E0
1.547624271E0,2.707999945E0,-4.625999928E0,6.909999847E-1,5.404685006E0
1.552604981E0,2.512000084E0,-4.809000015E0,7.609999776E-1,5.478662842E0
1.557585827E0,2.375000000E0,-4.934999943E0,8.320000172E-1,5.539591453E0
1.562566444E0,2.295000076E0,-5.000000000E0,9.390000105E-1,5.581106196E0
1.567547055E0,2.269000053E0,-5.089000225E0,1.044000030E0,5.668881776E0
1.572527745E0,2.246000051E0,-5.224999905E0,1.042999983E0,5.782126702E0
1.577508362E0,2.190999985E0,-5.316999912E0,9.200000167E-1,5.823862037E0
1.582489207E0,2.167000055E0,-5.395999908E0,7.799999714E-1,5.866950162E0
1.587469901E0,2.151999950E0,-5.473999977E0,5.950000286E-1,5.911835973E0
1.592450516E0,2.144999981E0,-5.576000214E0,4.169999957E-1,5.988880722E0
1.597431360E0,2.174000025E0,-5.738999844E0,3.030000031E-1,6.144444996E0
1.602411978E0,2.181999922E0,-5.921999931E0,1.940000057E-1,6.314177923E0
1.607392668E0,2.075999975E0,-6.043000221E0,3.799999878E-2,6.389763029E0
