"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.309548423E0,-1.715999961E0,-2.568000078E0,1.835999966E0,3.593073356E0
1.314529347E0,-1.583999991E0,-2.743999958E0,1.258000016E0,3.408981634E0
1.319510271E0,-1.613000035E0,-2.842999935E0,7.680000067E-1,3.357713769E0
1.324491194E0,-1.817999959E0,-2.888999939E0,3.249999881E-1,3.428858336E0
1.329472117E0,-2.036000013E0,-2.890000105E0,7.800000161E-2,3.536026111E0
1.334453040E0,-2.121000051E0,-2.900000095E0,1.640000045E-1,3.596600864E0
1.339433982E0,-2.086999893E0,-3.015000105E0,4.539999962E-1,3.694849142E0
1.344414905E0,-2.089999914E0,-3.171999931E0,9.729999900E-1,3.921276857E0
1.349395828E0,-2.257999897E0,-3.233999968E0,1.649999976E0,4.275490527E0
1.354376765E0,-2.543999910E0,-3.196000099E0,2.253000021E0,4.665014606E0
1.359357458E0,-2.790999889E0,-3.148999929E0,2.730999947E0,5.016397278E0
1.364338379E0,-2.954999924E0,-3.213999987E0,3.101999998E0,5.355765534E0
1.369319321E0,-3.016999960E0,-3.329999924E0,3.453000069E0,5.666956655E0
1.374300244E0,-3.032999992E0,-3.415999889E0,3.914000034E0,6.015608071E0
1.379281187E0,-3.082999945E0,-3.404000044E0,4.269999981E0,6.270965220E0
1.384262110E0,-3.176000118E0,-3.243999958E0,4.507999897E0,6.397857106E0
1.389243033E0,-3.282000065E0,-3.029999971E0,4.498000145E0,6.339118989E0
1.394223980E0,-3.289999962E0,-2.986999989E0,4.361000061E0,6.226121603E0
1.399204903E0,-3.181999922E0,-3.137000084E0,4.165999889E0,6.109128261E0
1.404185826E0,-2.887000084E0,-3.390000105E0,3.951999903E0,5.953584922E0
1.409166745E0,-2.352999926E0,-3.733999968E0,3.746999979E0,5.789591803E0
1.414147669E0,-1.781999946E0,-4.100999832E0,3.451999903E0,5.648896065E0
1.419128598E0,-1.460000038E0,-4.307000160E0,2.976999998E0,5.435474173E0
1.424109521E0,-1.393000007E0,-4.359000206E0,2.357000113E0,5.147502438E0
1.429090444E0,-1.434000015E0,-4.333000183E0,1.733000040E0,4.882062655E0
1.434071304E0,-1.467000008E0,-4.276999950E0,1.139000058E0,4.662846634E0
1.439052225E0,-1.421000004E0,-4.283999920E0,7.170000076E-1,4.570118744E0
1.444033225E0,-1.342000008E0,-4.326000214E0,4.889999926E-1,4.555695651E0
1.449014068E0,-1.378999949E0,-4.362999916E0,4.070000052E-1,4.593806497E0
1.453994989E0,-1.590999961E0,-4.363999844E0,4.850000143E-1,4.670224890E0
1.458975899E0,-1.894999981E0,-4.322999954E0,6.470000148E-1,4.764237877E0
1.463956822E0,-2.210999966E0,-4.297999859E0,7.099999785E-1,4.885225031E0
1.468937745E0,-2.542999983E0,-4.335000038E0,7.710000277E-1,5.084635217E0
1.473918639E0,-2.911999941E0,-4.414000034E0,9.160000086E-1,5.366767740E0
1.478899562E0,-3.322000027E0,-4.495999813E0,1.138000011E0,5.704799955E0
1.483880485E0,-3.710000038E0,-4.532999992E0,1.368000031E0,6.015281647E0
1.488861389E0,-4.077000141E0,-4.477000237E0,1.615000010E0,6.266872130E0
1.493842312E0,-4.383999825E0,-4.340000153E0,1.911999941E0,6.458389858E0
1.498823244E0,-4.522999763E0,-4.222000122E0,2.174000025E0,6.558131441E0
1.503804167E0,-4.473000050E0,-4.155000210E0,2.486999989E0,6.592186673E0
1.508785090E0,-4.250999928E0,-4.138000011E0,2.885999918E0,6.597199406E0
1.513766028E0,-4.050000191E0,-4.170000076E0,3.434000015E0,6.751574504E0
1.518746723E0,-3.994999886E0,-4.199999809E0,4.019000053E0,7.053536979E0
1.523727875E0,-4.012000084E0,-4.196000099E0,4.420000076E0,7.296503422E0
1.528708578E0,-3.993000031E0,-4.222000122E0,4.532000065E0,7.369420524E0
1.533689499E0,-3.778000116E0,-4.349999905E0,4.434999943E0,7.270832727E0
1.538670403E0,-3.469000101E0,-4.528999805E0,4.172999859E0,7.068219632E0
1.543651326E0,-3.276999950E0,-4.610000134E0,3.770999908E0,6.797887188E0
1.548632249E0,-3.198999882E0,-4.570000172E0,3.368000031E0,6.516281610E0
